epoch (ms),time (-13:00),elapsed (s),pressure (Pa)
1568493164496,2019-09-14T16:32:44.496,38.535,99155.844
1568493164633,2019-09-14T16:32:44.633,38.672,99159.750
1568493164767,2019-09-14T16:32:44.767,38.806,99150.641
1568493164904,2019-09-14T16:32:44.904,38.943,99157.609
1568493165040,2019-09-14T16:32:45.040,39.079,99161.516
1568493165175,2019-09-14T16:32:45.175,39.214,99164.578
1568493165311,2019-09-14T16:32:45.311,39.350,99162.813
1568493165446,2019-09-14T16:32:45.446,39.485,99148.141
1568493165582,2019-09-14T16:32:45.582,39.621,99149.438
1568493165718,2019-09-14T16:32:45.718,39.757,99154.641
1568493165853,2019-09-14T16:32:45.853,39.892,99161.141
1568493165989,2019-09-14T16:32:45.989,40.028,99161.141
1568493166125,2019-09-14T16:32:46.125,40.164,99161.141
1568493166262,2019-09-14T16:32:46.262,40.301,99152.047
1568493166396,2019-09-14T16:32:46.396,40.435,99159.375
1568493166533,2019-09-14T16:32:46.533,40.572,99153.781
1568493166667,2019-09-14T16:32:46.667,40.706,99151.641
1568493166804,2019-09-14T16:32:46.804,40.843,99161.578
1568493166938,2019-09-14T16:32:46.938,40.977,99150.344
1568493167075,2019-09-14T16:32:47.075,41.114,99149.516
1568493167211,2019-09-14T16:32:47.211,41.250,99155.078
1568493167346,2019-09-14T16:32:47.346,41.385,99161.219
1568493167482,2019-09-14T16:32:47.482,41.521,99156.906
1568493167618,2019-09-14T16:32:47.618,41.657,99161.219
1568493167753,2019-09-14T16:32:47.753,41.792,99150.813
1568493167889,2019-09-14T16:32:47.889,41.928,99157.375
1568493168025,2019-09-14T16:32:48.025,42.064,99155.242
1568493168160,2019-09-14T16:32:48.160,42.199,99159.516
1568493168296,2019-09-14T16:32:48.296,42.335,99158.211
1568493168433,2019-09-14T16:32:48.433,42.472,99152.641
1568493168567,2019-09-14T16:32:48.567,42.606,99148.742
1568493168704,2019-09-14T16:32:48.704,42.743,99156.977
1568493168838,2019-09-14T16:32:48.838,42.877,99153.945
1568493168974,2019-09-14T16:32:48.974,43.013,99160.047
1568493169111,2019-09-14T16:32:49.111,43.150,99157.844
1568493169245,2019-09-14T16:32:49.245,43.284,99157.445
1568493169382,2019-09-14T16:32:49.382,43.421,99152.703
1568493169518,2019-09-14T16:32:49.518,43.557,99156.141
1568493169653,2019-09-14T16:32:49.653,43.692,99156.672
1568493169789,2019-09-14T16:32:49.789,43.828,99165.313
1568493169924,2019-09-14T16:32:49.924,43.963,99159.273
1568493170060,2019-09-14T16:32:50.060,44.099,99154.078
1568493170196,2019-09-14T16:32:50.196,44.235,99153.609
1568493170331,2019-09-14T16:32:50.331,44.370,99166.250
1568493170467,2019-09-14T16:32:50.467,44.506,99164.484
1568493170603,2019-09-14T16:32:50.603,44.642,99164.016
1568493170738,2019-09-14T16:32:50.738,44.777,99157.977
1568493170874,2019-09-14T16:32:50.874,44.913,99159.273
1568493171011,2019-09-14T16:32:51.011,45.050,99164.844
1568493171145,2019-09-14T16:32:51.145,45.184,99166.609
